ghin,index,asOf
8551268,2.8,06/01/2016
8473920,5.3,06/01/2016
8732820,15.6,06/01/2016
5602298,7.9,06/01/2016
8460953,8.2,06/01/2016
9577549,6.2,06/01/2016
9823167,4.5,06/01/2016
8474820,0.5,06/01/2016
3681289,10.9,06/01/2016
5387399,11.2,06/01/2016
8437466,9.8,06/01/2016
5983985,18.9,06/01/2016
5028262,6.9,06/01/2016
4172347,+0.1,06/01/2016
1987330,4.8,06/01/2016
2102175,5.3,06/01/2016
7481928,9.3,06/01/2016
6557066,7.0,06/01/2016
8605435,6.6,06/01/2016
9625758,6.0,06/01/2016
3559747,11.8,06/01/2016
9700449,18.8,06/01/2016
9744677,19.5,06/01/2016
4889616,8.5,06/01/2016
5128632,3.3,06/01/2016
9999999,7.4,06/01/2016
2554342,9.2,06/01/2016
5111563,14.5,06/01/2016
2703934,14.6,06/01/2016
7125309,11.0,06/01/2016
3720349,13.4,06/01/2016
9214907,9.2,06/01/2016
1738359,16.5,06/01/2016
205034,34.2,06/01/2016
2794729,6.9,06/01/2016
953056,9.2,06/01/2016
8683006,10.5,06/01/2016
7333819,6.6,06/01/2016
